"Supplier ID","Contract","Supplier ID","Spend ","Supplier Name","Country","Region","Category","Sub-Category","Commodity Code","Risk Category","Risk Impact Category","Risk Probability Category","Risk Zone","Risk Impact Score","Risk Probability Score","Risk Score","Payment term","Contract Value ","Contract Type","Contract Terms","Contract currency ","Start Date","Expiry Date ","Duriation in Years","Status"
"544539","Contract_A1014","544539","  15,841.90 ","PT. Mitra Sinergi Integra PT. Mitra Sinergi Integra (PT. Mitra Sinergi Integra PT. Mitra Sinergi Integra ( 544539 ))","Indonesia","Southern East Asia","BUSINESS SERVICES","BUSINESS SERVICES","Dev-FunctnlExpertise (IBSPR3004)","LowHigh","Low","High","Medium","2.53","3.5","8.855","90","  30,000.00 ","Standard Master Agreement","","USD","15-Oct-2010","31-Dec-2018","9","Closed"
"534777","Contract_A1015","534777","  5,092.81 ","PT. KIMIA FARMA DIAGNOSTIKA (PT. KIMIA FARMA DIAGNOSTIKA ( 534777 ))","Indonesia","Southern East Asia","BUSINESS SERVICES","BUSINESS SERVICES","Emp Svce  Medical (IBSCB2001)","HighLow","High","Low","Medium","4.46","1.69","7.5374","45","  10,000.00 ","Standard Master Agreement for Indirect","","USD","07-Feb-2013","31-Dec-2019","7","Executed Agreement"
"549872","Contract_A1016","549872","  24,665.49 ","BERGGRUEN CAR RENTALS PRIVATE LIMIT ED (BERGGRUEN CAR RENTALS PRIVATE LIMIT ED ( 549872 ))","India","Southern East Asia","BUSINESS SERVICES","BUSINESS SERVICES","Rental Car & Fuel (IBSTR8001)","LowLow","Low","Low","Low","2.14","1.83","3.9162","90","  30,000.00 ","Standard Master Agreement for Indirect","","USD","30-Jan-2006","30-Jan-2016","11","Closed"
"543805","Contract_A1017","543805","  3,402.23 ","PT. INDESSO NIAGATAMA PT. INDESSO NIAGATAMA (PT. INDESSO NIAGATAMA PT. INDESSO NIAGATAMA ( 543805 ))","Indonesia","Southern East Asia","BUSINESS SERVICES","BUSINESS SERVICES","R&D: ProdDevelop-Samples (IBSRD2001)","LowHigh","Low","High","Medium","1.78","4.7","8.366","60","  10,000.00 ","Standard Master Agreement for Indirect","","USD","01-Aug-2016","31-Jan-2021","5","Executed Agreement"
"500070","Contract_A1018","500070","  15,867.60 ","SRIBANGUN BUMINITIYA PT (SRIBANGUN BUMINITIYA PT ( 500070 ))","Indonesia","Southern East Asia","BUSINESS SERVICES","BUSINESS SERVICES","Survey Services (IBSCC2003)","LowHigh","Low","High","Medium","2.11","3.95","8.3345","90","  30,000.00 ","Standard Master Agreement for Indirect","","USD","01-Jan-2011","28-Feb-2018","8","Closed"
"514573","Contract_A1019","514573","  4,146.11 ","ARCADIA SERVICE & SUPPLY CO., LTD. (ARCADIA SERVICE & SUPPLY CO., LTD. ( 514573 ))","Thailand","Southern East Asia","LOGISTICS AND MANUFACTURING","Facility Management","Building Repair/Svc (ILMFS0803)","HighLow","High","Low","Medium","4.2","2.72","11.424","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","16-Sep-2010","03-May-2013","3","Terminated"
"543880","Contract_A1020","543880","  301.23 ","SUDHIR SALES AND SERVICES LIMITED (SUDHIR SALES AND SERVICES LIMITED ( 543880 ))","India","Southern East Asia","LOGISTICS AND MANUFACTURING","Facility Management","Elec&Powr Supply M&R (ILMFS0807)","LowHigh","Low","High","Medium","2.48","3.86","9.5728","45","  10,000.00 ","Standard Master Agreement for Indirect","","USD","08-Oct-2007","08-Oct-2014","8","Closed-Archived"
"549221","Contract_A1021","549221","  1,423.55 ","BRY AIR (ASIA) PVT LTD (BRY AIR (ASIA) PVT LTD ( 549221 ))","India","Southern East Asia","LOGISTICS AND MANUFACTURING","Facility Management","HVAC Installatn M&R (ILMFS0809)","LowHigh","Low","High","Medium","1.61","3.99","6.4239","60","  10,000.00 ","Standard Master Agreement for Indirect","","USD","01-Feb-2013","31-Jan-2014","1","Executed Agreement"
"549106","Contract_A1022","549106","  2,150.10 ","METTLER TOLEDO INDIA PVT.LTD. (METTLER TOLEDO INDIA PVT.LTD. ( 549106 ))","India","Southern East Asia","LOGISTICS AND MANUFACTURING","Facility Management","Security Equip & Mat (ILMFS1101)","LowLow","Low","Low","Low","1.61","1.43","2.3023","60","  10,000.00 ","Standard Master Agreement for Direct-BR","","USD","20-Jun-2013","05-Mar-2028","15","Executed Agreement"
"528017","Contract_A1023","528017","  552,449.40 ","YARRA VALLEY WATER LTD ACCOUNTS OFFICE (YARRA VALLEY WATER LTD ACCOUNTS OFFICE ( 528017 ))","Australia","ANZ/Japan","LOGISTICS AND MANUFACTURING","Utilities and Energy","Utility:Watr/Sewage  (ILMUE1203)","LowHigh","Low","High","Medium","2.57","4.88","12.5416","60","  1,000,000.00 ","Standard Master Agreement for Indirect","","USD","01-Jun-2009","31-Dec-2010","2","Closed-Archived"
"532928","Contract_A1024","532928","  1,105.86 ","N J ENGINEERING (N J ENGINEERING ( 532928 ))","India","Southern East Asia","LOGISTICS AND MANUFACTURING","Facility Management","HVAC Installatn M&R (ILMFS0809)","HighLow","High","Low","Medium","3.35","1.68","5.628","120","  10,000.00 ","Standard Master Agreement for Indirect","","USD","01-Jul-2007","31-Oct-2009","3","Executed Agreement"
"266092","Contract_A1025","266092","  744.42 ","MOASSAT ALAHLAM FOR PAPER PRODATION (MOASSAT ALAHLAM FOR PAPER PRODATION ( 266092 ))","Egypt","MEA","LOGISTICS AND MANUFACTURING","Facility Management","Uniform Acquire&Rent (ILMFS0704)","LowLow","Low","Low","Low","2.87","2.73","7.8351","45","  10,000.00 ","Standard Master Agreement for Indirect","","USD","28-Jun-2016","28-Jun-2018","2","Closed-Archived"
"222732","Contract_A1026","222732","  399,644.51 ","PICSOLVE INTERNATIONAL LTD (PICSOLVE INTERNATIONAL LTD ( 222732 ))","UK","Northern Europe","LOGISTICS AND MANUFACTURING","Facility Management","Prod Equip Service (ILMFS0802)","LowHigh","Low","High","Medium","1.99","3.76","7.4824","90","  500,000.00 ","Standard Master Agreement for Indirect","","USD","21-Mar-2010","09-Jun-2014","5","Executed Agreement"
"531402","Contract_A1027","531402","  6,216.42 ","SUPERCHILLERS PVT LTD (SUPERCHILLERS PVT LTD ( 531402 ))","India","Southern East Asia","LOGISTICS AND MANUFACTURING","Facility Management","HVAC Installatn M&R (ILMFS0809)","LowHigh","Low","High","Medium","1.41","3","4.23","45","  100,000.00 ","Standard Master Agreement","","USD","16-Jun-2017","30-Jun-2022","6","Closed-Archived"
"547632","Contract_A1028","547632","  1,479.93 ","M/S DHARMA & CO (M/S DHARMA & CO ( 547632 ))","India","Southern East Asia","LOGISTICS AND MANUFACTURING","Facility Management","Medical Svc&Supplies (ILMFS0202)","LowLow","Low","Low","Low","2.92","1.28","3.7376","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","19-Jan-2015","01-Jan-2019","4","Executed Agreement"
"208320","Contract_A1029","208320","  22,234.50 ","STEF LOGISTICS SAINTES (STEF LOGISTICS SAINTES ( 208320 ))","Belgium","Western Europe","LOGISTICS AND MANUFACTURING","Facility Management","Prod Equip Service (ILMFS0802)","HighLow","High","Low","Medium","4.56","2.75","12.54","90","  30,000.00 ","Standard Master Agreement for Indirect","","USD","18-Nov-2009","30-Apr-2010","1","Closed-Archived"
"529792","Contract_A1030","529792","  5,042.51 ","TRIDENT SERVICES PVT.LTD (TRIDENT SERVICES PVT.LTD ( 529792 ))","India","Southern East Asia","LOGISTICS AND MANUFACTURING","Facility Management","Elec&Powr Supply M&R (ILMFS0807)","HighLow","High","Low","Medium","4.53","2.49","11.2797","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","26-Jul-2004","26-Jul-2010","7","Closed-Archived"
"222387","Contract_A1031","222387","  278,383.34 ","RMA LIMITED (RMA LIMITED ( 222387 ))","UK","Northern Europe","LOGISTICS AND MANUFACTURING","Facility Management","Prod Equip Service (ILMFS0802)","LowHigh","Low","High","Medium","2.66","3.32","8.8312","90","  500,000.00 ","Standard Master Agreement for Indirect","","USD","21-Mar-2010","31-Dec-2099","90","Executed Agreement"
"529781","Contract_A1032","529781","  1,240.32 ","COAL SUPPLIER (COAL SUPPLIER ( 529781 ))","India","Southern East Asia","LOGISTICS AND MANUFACTURING","Utilities and Energy","UtilityNatl Gas/Fuel (ILMUE1202)","HighLow","High","Low","Medium","3.16","1.3","4.108","45","  10,000.00 ","Standard Master Agreement for Indirect","","USD","18-Feb-2013","18-Feb-2018","6","Executed Agreement"
"530156","Contract_A1033","530156","  121.21 ","M/S AGGARWAL ENGINEERS (M/S AGGARWAL ENGINEERS ( 530156 ))","India","Southern East Asia","LOGISTICS AND MANUFACTURING","Facility Management","Prod Equip Service (ILMFS0802)","LowHigh","Low","High","Medium","1.66","4.93","8.1838","30","  10,000.00 ","Standard Master Agreement for Direct","","USD","09-Oct-2006","31-Dec-2012","7","Closed"
"102977","Contract_A1034","102977","  4,475.99 ","A.B.T. GOVAERTS BVBA (A.B.T. GOVAERTS BVBA ( 102977 ))","Belgium","Western Europe","LOGISTICS AND MANUFACTURING","Facility Management","Prod Equip Service (ILMFS0802)","HighLow","High","Low","Medium","3.66","2.16","7.9056","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","27-Jan-2012","31-Dec-2017","6","Closed"
"165194","Contract_A1035","165194","  13,756.14 ","BETECEM (BETECEM ( 165194 ))","Belgium","Western Europe","LOGISTICS AND MANUFACTURING","Facility Management","Prod Equip Service (ILMFS0802)","HighLow","High","Low","Medium","4.3","2.27","9.761","30","  150,000.00 ","Standard Master Agreement for Indirect","","USD","31-Jan-2013","03-Sep-2018","6","Terminated"
"163169","Contract_A1036","163169","  562.71 ","OEBB IMMOBILIENMANAGEMENT (OEBB IMMOBILIENMANAGEMENT ( 163169 ))","Austria","Central Europe","LOGISTICS AND MANUFACTURING","Facility Management","Prod Equip Service (ILMFS0802)","HighLow","High","Low","Medium","3.66","2.97","10.8702","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","02-Feb-2015","02-Feb-2020","6","Executed Agreement"
"162365","Contract_A1037","162365","  947.23 ","ERICH VOSS GMBH ARBEITSSICHERHEIT-ARBEITSMEDIZIN (ERICH VOSS GMBH ARBEITSSICHERHEIT-ARBEITSMEDIZIN ( 162365 ))","Germany","Central Europe","LOGISTICS AND MANUFACTURING","Facility Management","Medical Svc&Supplies (ILMFS0202)","HighLow","High","Low","Medium","3.04","2.31","7.0224","45","  10,000.00 ","Standard Master Agreement for Indirect","","USD","01-Aug-2007","01-Aug-2009","3","Executed Agreement"
"290462","Contract_A1038","290462","  182.61 ","SED-MET S.C (SED-MET S.C ( 290462 ))","Poland","Central Europe","LOGISTICS AND MANUFACTURING","Facility Management","Prod Equip Service (ILMFS0802)","HighLow","High","Low","Medium","4.03","2.94","11.8482","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","01-May-2007","30-Apr-2012","6","Terminated"
"543981","Contract_A1039","543981","  57.50 ","RAJ METALS (RAJ METALS ( 543981 ))","India","Southern East Asia","LOGISTICS AND MANUFACTURING","Facility Management","Coffee/Bever/Amenity (ILMFS0201)","HighLow","High","Low","Medium","3.77","2.55","9.6135","60","  10,000.00 ","Standard Master Agreement for Indirect","","USD","02-Feb-2015","01-Jan-2019","4","Executed Agreement"
"2002326","Contract_A1040","2002326","  5,019.90 ","CORPORATE GRAPHICS (CORPORATE GRAPHICS ( 2002326 ))","US","North America","LOGISTICS AND MANUFACTURING","Facility Management","Office Supplies  (ILMFS1901)","HighLow","High","Low","Medium","4.55","2.29","10.4195","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","01-Jan-2009","31-Dec-2009","1","Closed"
"142587","Contract_A1041","142587","  781.60 ","CAMLAB LIMITED (CAMLAB LIMITED ( 142587 ))","UK","Northern Europe","LOGISTICS AND MANUFACTURING","Facility Management","Prod Equip Service (ILMFS0802)","HighLow","High","Low","Medium","4.86","1.16","5.6376","45","  10,000.00 ","Standard Master Agreement for Indirect","","USD","15-Sep-2010","12-Apr-2013","3","Executed Agreement"
"141860","Contract_A1042","141860","  4,141.88 ","An Post General Post Office (An Post General Post Office ( 141860 ))","Ireland","Northern Europe","LOGISTICS AND MANUFACTURING","Facility Management","Mail & Delivery (ILMFS1701)","LowHigh","Low","High","Medium","1.7","4.7","7.99","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","12-Mar-2012","31-Dec-2014","3","Executed Agreement"
"509870","Contract_A1043","509870","  2,053.86 ","POWERTECHNIC HANDLING EQUIPMENT (M) SDN BHD (POWERTECHNIC HANDLING EQUIPMENT (M) SDN BHD ( 509870 ))","Malaysia","Southern East Asia","LOGISTICS AND MANUFACTURING","Facility Management","Elec&Powr Supply M&R (ILMFS0807)","LowLow","Low","Low","Low","1.71","2.69","4.5999","45","  10,000.00 ","Standard Master Agreement for Indirect","","USD","05-Jan-2018","05-Jan-2023","6","Closed"
"510025","Contract_A1044","510025","  1,114.71 ","SYARIKAT CATHAY LETRIK (SYARIKAT CATHAY LETRIK ( 510025 ))","Malaysia","Southern East Asia","LOGISTICS AND MANUFACTURING","Facility Management","Elec&Powr Supply M&R (ILMFS0807)","HighLow","High","Low","Medium","3.22","1.17","3.7674","60","  10,000.00 ","Standard Master Agreement for Indirect","","USD","15-Dec-2011","12-Dec-2013","2","Closed"
"165819","Contract_A1045","165819","  1,312.93 ","DL PACKAGING BV (DL PACKAGING BV ( 165819 ))","Belgium","Western Europe","LOGISTICS AND MANUFACTURING","Facility Management","Prod Equip Service (ILMFS0802)","LowLow","Low","Low","Low","2.14","2.26","4.8364","60","  10,000.00 ","Standard Master Agreement for Indirect","","USD","18-Feb-2013","31-Dec-2019","7","Closed"
"202988","Contract_A1046","202988","  3,818.28 ","ARDOVLAM NV (ARDOVLAM NV ( 202988 ))","Belgium","Western Europe","LOGISTICS AND MANUFACTURING","Facility Management","Security Equip & Mat (ILMFS1101)","HighLow","High","Low","Medium","4.31","1.43","6.1633","60","  10,000.00 ","Standard Master Agreement for Indirect","","USD","30-Nov-2010","31-Dec-2015","6","Terminated"
"192944","Contract_A1047","192944","  5,197.91 ","FED APAJH SAINT QUENTIN SERVICES (FED APAJH SAINT QUENTIN SERVICES ( 192944 ))","France","Western Europe","LOGISTICS AND MANUFACTURING","Facility Management","Cleaning-Outdoor (ILMFS0105)","LowHigh","Low","High","Medium","2.9","3.25","9.425","30","  10,000.00 ","Standard Master Agreement for Indirect","","USD","13-Apr-2011","01-Oct-2015","5","Executed Agreement"
"110507","Contract_A1048","110507","  1,672.59 ","NETTER VIBRATIONSTECHNIK (NETTER VIBRATIONSTECHNIK ( 110507 ))","Austria","Central Europe","LOGISTICS AND MANUFACTURING","Facility Management","Prod Equip Service (ILMFS0802)","LowHigh","Low","High","Medium","1.98","3.05","6.039","60","  10,000.00 ","Standard Master Agreement for Indirect","","USD","15-May-2007","14-May-2017","11","Closed-Archived"
"221567","Contract_A1049","221567","  1,512.61 ","NEOPOST IRELAND LIMITED (NEOPOST IRELAND LIMITED ( 221567 ))","Ireland","Northern Europe","LOGISTICS AND MANUFACTURING","Facility Management","Office Supplies  (ILMFS1901)","LowLow","Low","Low","Low","2.32","1.9","4.408","60","  10,000.00 ","Standard Master Agreement for Indirect","","USD","10-Dec-2011","26-Mar-2012","1","Executed Agreement"
"198635","Contract_A1050","198635","  1,678.71 ","MULTIPRODUCTS BVBA (MULTIPRODUCTS BVBA ( 198635 ))","Belgium","Western Europe","LOGISTICS AND MANUFACTURING","Facility Management","Health & Safty Equip (ILMFS0701)","LowLow","Low","Low","Low","2.82","1.52","4.2864","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","13-Sep-2010","29-Dec-2012","3","Closed-Archived"
"105353","Contract_A1051","105353","  4,368.88 ","SYSMEX BELGIUM N.V (SYSMEX BELGIUM N.V ( 105353 ))","Belgium","Western Europe","LOGISTICS AND MANUFACTURING","Facility Management","Prod Equip Material (ILMFS0801)","LowHigh","Low","High","Medium","1.36","3.26","4.4336","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","14-Mar-2014","31-Dec-2016","3","Terminated"
"174601","Contract_A1052","174601","  2,020.20 ","STOECKLIN LOGISTIK AG FOERDER UND LAGERTECHNIK (STOECKLIN LOGISTIK AG FOERDER UND LAGERTECHNIK ( 174601 ))","Switzerland","Central Europe","LOGISTICS AND MANUFACTURING","Facility Management","Prod Equip Service (ILMFS0802)","HighLow","High","Low","Medium","3.41","2.38","8.1158","60","  10,000.00 ","Standard Master Agreement for Indirect","","USD","01-Jan-2018","31-Dec-2020","3","Closed-Archived"
"222287","Contract_A1053","222287","  641.78 ","MOOD MEDIA (MOOD MEDIA ( 222287 ))","UK","Northern Europe","LOGISTICS AND MANUFACTURING","Facility Management","Prod Equip Service (ILMFS0802)","LowHigh","Low","High","Medium","2.96","3.49","10.3304","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","23-Aug-2007","17-Feb-2012","5","Closed-Archived"
"541180","Contract_A1054","541180","  1,585.68 ","KAFFEE KULTUR (KAFFEE KULTUR ( 541180 ))","Singapore","Southern East Asia","LOGISTICS AND MANUFACTURING","Facility Management","Catering/Empl Conven (ILMFS0207)","LowHigh","Low","High","Medium","2.01","4.4","8.844","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","19-Jan-2015","19-Jul-2016","2","Executed Agreement"
"289836","Contract_A1055","289836","  2,157.09 ","ATS CULLIGAN LILLE (ATS CULLIGAN LILLE ( 289836 ))","France","Western Europe","LOGISTICS AND MANUFACTURING","Facility Management","Building Repair/Svc (ILMFS0803)","HighLow","High","Low","Medium","4.64","1.32","6.1248","90","  10,000.00 ","Confidentiality Agreement","","USD","14-Feb-2013","31-Dec-2020","8","Drafting Agreement"
"130489","Contract_A1056","130489","  698.39 ","RS COMPONENTS SRL (RS COMPONENTS SRL ( 130489 ))","Italy","Western Europe","LOGISTICS AND MANUFACTURING","Facility Management","Mail & Delivery (ILMFS1701)","HighLow","High","Low","Medium","4.7","1.11","5.217","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","11-Sep-2007","11-Sep-2010","4","Closed-Archived"
"156175","Contract_A1057","156175","  1,852.61 ","AMT DER VORARLBERGER LANDES- REGIERUNG (AMT DER VORARLBERGER LANDES- REGIERUNG ( 156175 ))","Austria","Central Europe","LOGISTICS AND MANUFACTURING","Facility Management","Offc Mat Disp Recycl (ILMFS0903)","LowLow","Low","Low","Low","2.94","1.2","3.528","45","  10,000.00 ","Standard Master Agreement for Indirect","","USD","15-Feb-2012","14-Feb-2017","6","On Hold"
"154836","Contract_A1058","154836","  216.03 ","SICK GMBH. (SICK GMBH. ( 154836 ))","Austria","Central Europe","LOGISTICS AND MANUFACTURING","Facility Management","Prod Equip Service (ILMFS0802)","LowLow","Low","Low","Low","1.33","2.5","3.325","45","  10,000.00 ","Standard Master Agreement for Indirect","","USD","28-Sep-2007","31-Dec-2011","5","Closed-Archived"
"174388","Contract_A1059","174388","  3,279.59 ","DIETMAR FREUND WAEGETECHNIK (DIETMAR FREUND WAEGETECHNIK ( 174388 ))","Germany","Central Europe","LOGISTICS AND MANUFACTURING","Facility Management","FacltyTechInspection (ILMFS0805)","LowHigh","Low","High","Medium","1.12","3.91","4.3792","60","  10,000.00 ","Standard Master Agreement for Indirect","","USD","23-Nov-2015","01-Dec-2017","3","Executed Agreement"
"234203","Contract_A1060","234203","  4,467.93 ","ODYSSEE ENVIRONNEMENT (ODYSSEE ENVIRONNEMENT ( 234203 ))","France","Western Europe","LOGISTICS AND MANUFACTURING","Facility Management","HVAC Installatn M&R (ILMFS0809)","LowHigh","Low","High","Medium","1.77","4.12","7.2924","60","  10,000.00 ","Standard Master Agreement for Indirect","","USD","01-Jan-2015","31-Dec-2017","3","Executed Agreement"
"294443","Contract_A1061","294443","  7,247.33 ","DATA CITY TECHNOLOGY CO WLL (DATA CITY TECHNOLOGY CO WLL ( 294443 ))","Bahrain","MEA","LOGISTICS AND MANUFACTURING","Facility Management","Office Supplies  (ILMFS1901)","LowHigh","Low","High","Medium","1.58","4.25","6.715","90","  100,000.00 ","Standard Master Agreement for Indirect","","USD","01-Jan-2013","31-Dec-2015","3","Executed Agreement"
"2009264","Contract_A1062","2009264","  1,745.34 ","SHOES FOR CREWS (SHOES FOR CREWS ( 2009264 ))","US","North America","LOGISTICS AND MANUFACTURING","Facility Management","Uniform Acquire&Rent (ILMFS0704)","LowHigh","Low","High","Medium","2.8","3.61","10.108","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","25-Jan-2016","31-Jan-2017","2","Executed Agreement"
"107215","Contract_A1063","107215","  247.94 ","N.V. ORTHOPEDIE VAN HAESENDONCK (N.V. ORTHOPEDIE VAN HAESENDONCK ( 107215 ))","Belgium","Western Europe","LOGISTICS AND MANUFACTURING","Facility Management","Health & Safty Equip (ILMFS0701)","LowLow","Low","Low","Low","2.55","1.98","5.049","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","10-Feb-2013","31-Dec-2014","2","Executed Agreement"
"148059","Contract_A1064","148059","  499.12 ","HOFFMANN FRANCE (HOFFMANN FRANCE ( 148059 ))","France","Western Europe","LOGISTICS AND MANUFACTURING","Facility Management","Office Supplies  (ILMFS1901)","LowHigh","Low","High","Medium","2.91","4.19","12.1929","45","  10,000.00 ","Standard Master Agreement for Indirect","","USD","14-Oct-2015","31-Oct-2018","4","Executed Agreement"
"234142","Contract_A1065","234142","  1,288.49 ","MCMI (MCMI ( 234142 ))","France","Western Europe","LOGISTICS AND MANUFACTURING","Facility Management","Prod Equip Service (ILMFS0802)","HighLow","High","Low","Medium","4.58","2.87","13.1446","90","  10,000.00 ","Standard Master Agreement for Indirect","","USD","01-Nov-2013","31-Dec-2015","3","Executed Agreement"
